Time,Record Number,Temperature (F),Pressure (mbar),Humidity (%),Wind Direction (Degrees),Wind Direction (String),Wind Speed (MPH),Wind Gust (MPH),Precipitation (Inches),Shortwave Radiation (W m^(-2)),Avg. RF Watts (W),Avg. RF Watts Frequency (MHz),Peak RF Watts (W),Frequency of RF Watts Peak (MHz),Peak RF Watts Frequency (MHz),Watts of RF Watts Frequency Peak (W),Avg. RF Density (W m^(-2)),Avg. RF Density Frequency (MHz),Peak RF Density (W m^(-2)),Frequency of RF Density Peak (MHz),Peak RF Density Frequency (MHz),Density of RF Density Frequency Peak (W m^(-2)),Avg. Total Density (W m^(-2)),Max Total Density (W m^(-2)),Avg. EF (V/m),Max EF (V/m),Avg. EMF (mG),Max EMF (mG),BeeMonitorID,UpwardMotion,DownwardMotion,LateralMotion,TotalMotion,Shortwave Radiation USU (MJ/m^2)
2020-05-19 20:15:00,1,55.8,1007.0,43.7,297.5,WNW,0.9,4.0,0.0,0.0,3.584857e-10,848.2,2e-09,1861.0,1887.0,3.16e-10,1.28571428571e-05,831.9,0.0002,1872.0,1886.0,0.0001,0.001898571428571,0.0042,851.7,1026.4,0.0,0.2,4.8,782.0,817.0,229.0,1828.0,0.0
2020-05-19 20:30:00,2,54.1,1007.1,45.2,296.9,WNW,0.3,2.2,0.0,0.0,3.804857e-10,832.6,2e-09,1881.0,1885.0,6.31e-10,1.85714285714e-05,815.6,0.0002,1881.0,1884.0,0.0001,0.001915714285714,0.0035,856.4,1026.4,0.0,0.1,4.8,17.0,14.0,11.0,42.0,0.0
2020-05-19 20:45:00,3,53.6,1007.3,48.3,327.0,NNW,0.7,4.3,0.0,15.0,4.599143e-10,830.4,5e-09,1880.0,1882.0,2e-09,2.14285714286e-05,831.0,0.0003,1866.0,1882.0,0.0002,0.00183,0.0041,860.4,1026.4,0.0,0.2,4.8,11.0,10.0,5.0,26.0,0.0
2020-05-19 21:00:00,4,53.6,1007.6,48.6,352.0,NNW,2.8,7.3,0.0,10.0,4.797606e-10,862.5,5e-09,1879.0,1884.0,2e-09,3.23943661972e-05,895.7,0.0005,1879.0,1884.0,0.0002,0.001761971830986,0.0036,833.2,986.8,0.0,0.1,4.8,46.0,38.0,2.0,86.0,0.0
2020-05-19 21:15:00,5,54.0,1008.1,48.3,357.6,NNW,1.8,3.9,0.0,0.0,6.630282e-10,863.1,1.6e-08,1880.0,1882.0,2e-09,4.08450704225e-05,846.0,0.0016,1880.0,1882.0,0.0002,0.001833802816901,0.0037,838.8,1003.6,0.0,0.1,4.8,0.0,0.0,0.0,0.0,0.0
2020-05-19 21:30:00,6,54.1,1008.2,46.9,283.0,WNW,1.4,4.2,0.0,0.0,4.703803e-10,879.1,6e-09,1881.0,1881.0,1e-09,2.53521126761e-05,880.0,0.0006,1881.0,1881.0,0.0001,0.001908450704225,0.0041,857.7,1004.8,0.0,0.1,4.8,0.0,0.0,0.0,0.0,0.0
2020-05-19 21:45:00,7,54.1,1008.8,47.1,273.4,W,0.3,2.2,0.0,5.0,4.533429e-10,832.5,3e-09,1867.0,1881.0,2e-09,2.28571428571e-05,831.6,0.0003,1867.0,1881.0,0.0002,0.001885714285714,0.0035,825.9,1006.0,0.0,0.1,4.8,0.0,0.0,0.0,0.0,0.0
2020-05-19 22:00:00,8,53.6,1009.1,48.2,275.6,W,1.3,3.7,0.0,10.0,4.618286e-10,883.5,4e-09,1880.0,1887.0,3.16e-10,2.57142857143e-05,901.1,0.0004,1880.0,1887.0,0.0,0.001808571428571,0.0035,828.0,1006.0,0.0,0.1,4.8,0.0,0.0,0.0,0.0,
2020-05-19 22:15:00,9,53.1,1009.1,48.8,343.5,NNW,1.5,3.3,0.0,20.0,4.362286e-10,866.9,3e-09,1864.0,1884.0,1e-09,1.85714285714e-05,831.7,0.0003,1864.0,1884.0,0.0001,0.001842857142857,0.0042,855.0,1012.0,0.0,0.1,4.8,0.0,0.0,0.0,0.0,
2020-05-19 22:30:00,10,53.1,1009.3,49.5,347.4,NNW,2.1,6.0,0.0,0.0,5.607606e-10,915.0,3e-09,1851.0,1888.0,3e-09,4.50704225352e-05,948.8,0.0003,1877.0,1888.0,0.0003,0.001423943661972,0.0035,861.9,1024.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,
2020-05-19 22:45:00,11,52.5,1009.6,50.3,341.3,NNW,1.5,3.6,0.0,0.0,4.277042e-10,847.6,3e-09,1858.0,1886.0,6.31e-10,3.0985915493e-05,914.5,0.0003,1858.0,1886.0,0.0001,0.001759154929578,0.0037,859.0,1025.2,0.0,0.1,4.8,0.0,0.0,0.0,0.0,
2020-05-19 23:00:00,12,52.3,1009.5,49.8,342.6,NNW,1.1,3.1,0.0,0.0,4.69493e-10,896.0,2e-09,1841.0,1884.0,2e-09,3.0985915493e-05,896.6,0.0002,1841.0,1884.0,0.0002,0.001423943661972,0.0035,874.2,1042.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
