Time,Record Number,Temperature (F),Pressure (mbar),Humidity (%),Wind Direction (Degrees),Wind Direction (String),Wind Speed (MPH),Wind Gust (MPH),Precipitation (Inches),Shortwave Radiation (W m^(-2)),Avg. RF Watts (W),Avg. RF Watts Frequency (MHz),Peak RF Watts (W),Frequency of RF Watts Peak (MHz),Peak RF Watts Frequency (MHz),Watts of RF Watts Frequency Peak (W),Avg. RF Density (W m^(-2)),Avg. RF Density Frequency (MHz),Peak RF Density (W m^(-2)),Frequency of RF Density Peak (MHz),Peak RF Density Frequency (MHz),Density of RF Density Frequency Peak (W m^(-2)),Avg. Total Density (W m^(-2)),Max Total Density (W m^(-2)),Avg. EF (V/m),Max EF (V/m),Avg. EMF (mG),Max EMF (mG),BeeMonitorID,UpwardMotion,DownwardMotion,LateralMotion,TotalMotion,Shortwave Radiation USU (MJ/m^2)
2020-05-16 16:45:00,1,67.8,1014.3,23.8,256.5,WSW,0.7,2.5,0.0,130.0,3.326912e-10,694.0,5e-09,1866.0,1866.0,5e-09,3.38235294118e-05,732.6,0.0005,1866.0,1881.0,0.0003,0.000126470588235,0.001,693.7,886.0,1.2,1.4,4.5,183.0,230.0,177.0,590.0,0.717
2020-05-16 17:00:00,2,66.2,1014.3,24.0,252.0,WSW,0.5,2.1,0.0,140.0,8.500571e-10,759.1,2.5e-08,1880.0,1881.0,4e-09,5.42857142857e-05,776.4,0.0013,1880.0,1881.0,0.0004,0.000301428571429,0.0011,676.6,844.0,1.3,1.5,4.5,106.0,118.0,168.0,392.0,0.976
2020-05-16 17:15:00,3,65.8,1014.1,23.3,255.5,WSW,0.4,3.1,0.0,130.0,4.531143e-10,741.0,5e-09,1861.0,1878.0,3e-09,2.85714285714e-05,758.6,0.0005,1861.0,1878.0,0.0003,0.00026,0.0011,690.1,889.6,1.2,1.4,4.5,179.0,231.0,16.0,426.0,0.976
2020-05-16 17:30:00,4,65.1,1014.2,24.5,248.4,WSW,0.3,1.5,0.0,140.0,5.634e-10,775.9,1.6e-08,1884.0,1884.0,1.6e-08,2.8571428571e-06,671.5,0.0001,1880.0,1880.0,0.0001,0.000472857142857,0.0028,664.1,880.0,1.2,1.5,4.5,112.0,161.0,106.0,379.0,0.976
2020-05-16 17:45:00,5,65.1,1014.2,23.7,295.7,WNW,0.1,0.9,0.0,145.0,2.303e-10,670.8,3e-09,1872.0,1872.0,3e-09,2.28571428571e-05,776.0,0.0003,1872.0,1879.0,0.0003,0.001105714285714,0.0029,675.8,880.0,1.2,1.4,4.5,29.0,43.0,142.0,214.0,0.976
2020-05-16 18:00:00,6,65.1,1014.1,24.5,261.4,W,0.0,0.1,0.0,125.0,7.942429e-10,759.6,2.5e-08,1880.0,1884.0,3e-09,4.71428571429e-05,724.8,0.0025,1880.0,1884.0,0.0003,0.00108,0.0035,680.5,874.0,1.1,1.4,4.5,114.0,139.0,11.0,264.0,0.281
2020-05-16 18:15:00,7,64.9,1014.0,24.3,227.8,SW,0.1,1.0,0.0,140.0,3.697286e-10,740.6,4e-09,1850.0,1884.0,3e-09,2.71428571429e-05,740.9,0.0005,1860.0,1887.0,0.0002,0.00121,0.0041,660.8,841.6,1.1,1.3,4.5,185.0,238.0,87.0,510.0,0.281
2020-05-16 18:30:00,8,64.6,1013.8,24.7,177.3,S,0.2,2.1,0.0,105.0,3.460143e-10,740.9,4e-09,1869.0,1889.0,3.98e-10,2.57142857143e-05,758.3,0.0004,1860.0,1889.0,0.0,0.000995714285714,0.0029,689.9,881.2,1.1,1.3,4.5,682.0,679.0,212.0,1573.0,0.281
2020-05-16 18:45:00,9,63.7,1013.6,27.1,353.9,NNW,1.0,3.1,0.0,55.0,4.008857e-10,775.5,5e-09,1865.0,1877.0,3e-09,2.85714285714e-05,740.8,0.0005,1869.0,1877.0,0.0003,0.000995714285714,0.0028,685.3,841.6,1.0,1.2,4.5,108.0,231.0,48.0,387.0,0.281
2020-05-16 19:00:00,10,62.6,1013.6,28.4,346.5,NNW,1.3,4.5,0.0,40.0,5.766429e-10,813.0,5e-09,1880.0,1886.0,1e-09,3.85714285714e-05,795.1,0.0005,1880.0,1884.0,0.0002,0.001015714285714,0.0041,690.1,881.2,1.0,1.2,4.5,66.0,176.0,38.0,280.0,0.039
2020-05-16 19:15:00,11,61.3,1013.5,28.8,344.0,NNW,1.2,3.6,0.0,30.0,2.7703286e-09,793.8,1.58e-07,1879.0,1879.0,2e-09,0.000251428571429,776.2,0.0158,1879.0,1879.0,0.0002,0.000908571428571,0.0027,691.1,882.4,0.8,1.0,4.5,27.0,70.0,9.0,106.0,0.039
